title,stars,reviews,price,isBestSeller,boughtInLastMonth,categoryName,category_encoded,popular,star_bucket,price_bucket,relative_cluster
introducing echo pop full sound compact wifi and bluetooth smart speaker with alexa charcoal,4.6,2.333329307,-0.267222372,0,0,hi-fi speakers,131,0,Excellent,,4
introducing echo pop full sound compact wifi and bluetooth smart speaker with alexa lavender bloom,4.6,2.333329307,-0.267222372,0,0,hi-fi speakers,131,0,Excellent,,4
introducing echo pop full sound compact wifi and bluetooth smart speaker with alexa glacier white,4.6,2.333329307,-0.267222372,0,0,hi-fi speakers,131,0,Excellent,,4
allnew echo show 5 3rd gen 2023 release smart display and alarm clock with clearer sound charcoal,4.5,1.943759719,0.555603841,0,0,hi-fi speakers,131,0,Excellent,Low,4
echo dot kids 5th generation 2022 release wifi and bluetooth smart speaker with alexa designed for kids with parental controls owl,4.6,2.081649627,0.055949932,1,0,hi-fi speakers,131,0,Excellent,Low,4
sony srsxb13 compact and portable waterproof wireless bluetooth speaker with extra bass black,4.6,2.832576636,0.353378739,0,0,hi-fi speakers,131,0,Excellent,Low,7
echo dot kids 5th generation 2022 release wifi and bluetooth smart speaker with alexa designed for kids with parental controls dragon,4.6,2.081649627,0.055949932,1,0,hi-fi speakers,131,0,Excellent,Low,4
allnew echo show 5 3rd gen 2023 release smart display and alarm clock with clearer sound white,4.5,1.943759719,0.555603841,0,0,hi-fi speakers,131,0,Excellent,Low,4
allnew echo show 5 3rd generation i compact smart touchscreen with alexa for smart home control and more i cloud blue,4.5,1.943759719,0.555603841,0,0,hi-fi speakers,131,0,Excellent,Low,4
allnew echo show 8 3rd generation 2023 release hd smart touchscreen with spatial audio smart home hub and alexa charcoal,0,-0.754876685,1.459959004,0,0,hi-fi speakers,131,0,No rating,Low,4
jbl flip 5 portable waterproof bluetooth speaker blue,4.7,2.833860963,0.94105676,0,0,hi-fi speakers,131,0,Excellent,Low,7
jbl partybox110 portable indoor and outdoor party speaker with builtin lights ipx4 splashproof design deep bass and 12 hours of playtime in black,4.8,1.308115474,2.003668862,0,0,hi-fi speakers,131,0,Excellent,Low,4
echo show 15 full hd 156 smart display with alexa and fire tv built in remote not included,4.4,2.468362397,1.698248119,0,0,hi-fi speakers,131,0,Excellent,Low,4
sony htsf150 2ch single soundbar with bluetooth and sforce front surround black,4.3,2.431542417,1.328834288,0,0,hi-fi speakers,131,0,Excellent,Low,4
samsung q990c soundbar speaker 2023 22 speaker home sound system with wireless dolby atmos rear speakers and wireless subwoofer alexa built in smart surround sound bluetooth wifi airplay,4.8,0.326005945,3.001742079,0,0,hi-fi speakers,131,0,Excellent,Low,7
bose solo soundbar series ii tv speaker with bluetooth connectivity,4.6,2.496045659,1.558746945,1,0,hi-fi speakers,131,0,Excellent,Low,4
samsung q700c soundbar speaker 2023 9 speaker home sound system with adaptive sound dolby atmos wireless subwoofer night voice enhancement smart surround sound bluetooth wifi airplay,4.7,0.380696596,2.206597861,0,0,hi-fi speakers,131,0,Excellent,Low,7
jbl flip essential 2 portable bluetooth speaker with rechargeable battery ipx7 waterproof 10h battery life black,4.7,2.441856218,0.887970903,0,0,hi-fi speakers,131,0,Excellent,Low,4
echo show 10 3rd generation hd smart display with motion and alexa charcoal fabric,4.5,2.737922438,1.633634155,0,0,hi-fi speakers,131,0,Excellent,Low,4
jabra speak 510 speaker portable bluetooth speaker conference speaker connects to laptops smartphones and tablets usb plug,4.7,2.766784596,1.082695446,0,0,hi-fi speakers,131,0,Excellent,Low,7
sony srsxb13 compact portable waterproof wireless bluetooth speaker with extra bass blue,4.7,2.492667428,0.373745882,0,0,hi-fi speakers,131,0,Excellent,Low,7
wking bluetooth speaker 30w portable wireless loud speakers ipx6 waterproof outdoor speaker with punchy bass 24h playtime eq aux tf card usb playback powerful speaker for home party outdoor,4.6,2.781617703,0.340576705,0,0,hi-fi speakers,131,0,Excellent,Low,7
bedside lamp with alarm clock bluetooth speaker night light bedroom decor rgb color changing led mood bedroom table lamp birthday gifts for her for teenage girls boy mum gifts women kids,4.5,2.434442957,0.140769761,0,0,hi-fi speakers,131,0,Excellent,Low,4
ultimea dolby atmos sound bar for tv soundbar for 3d surround sound system bluetooth soundbar for tv with subwoofer deep bass adjustable slim tv sound bar home theater soundbar speaker nova s50,4.5,1.489836739,1.341587462,0,0,hi-fi speakers,131,0,Excellent,Low,4
samsung q930c soundbar speaker 2023 17 speaker home sound system with adaptive sound wireless dolby atmos and wireless subwoofer alexa built in smart surround sound bluetooth wifi airplay,4.1,0.096803276,2.649326653,0,0,hi-fi speakers,131,0,Excellent,Low,7
soundcore anker motion boom plus bluetooth speaker portable speaker with 80w booming sound ip67 waterproof and dustproof typec custom eq bluetooth 53 outdoor speaker for camping,4.7,2.768442782,1.513381714,0,0,hi-fi speakers,131,0,Excellent,Low,7
neza portable bluetooth speakers 20w hd loud stereo sound wireless speaker 18h playtime bluetooth 51 speaker with rgb flashing lights ipx7 waterproof speakers for travelhomeoutdoors black,4.9,1.610214969,0.28820706,0,0,hi-fi speakers,131,0,Excellent,Low,7
wking 80w bluetooth speaker loud super bass huge 105db sound portable party wireless outdoor speakers mixed color led lights 24h playtime bluetooth 50 usb playback aux eq nonwaterproof,4.7,2.116716642,1.157268047,0,0,hi-fi speakers,131,0,Excellent,Low,7
dab radio portable bluetooth speaker dab plusdab radio fm radio shower speaker ipx4 splashproof water resistant typec usb 5w stereo speaker with bluetooth 50 rechargeable,4.5,1.836865783,0.373745882,0,0,hi-fi speakers,131,0,Excellent,Low,7
sanyun sw208 3 active bluetooth 50 bookshelf speakers 60w carbon fiber unit builtin 24bit dac dynamic 3d surround sound 20 computer pc monitor gaming speakers pair white,4.4,2.063973453,0.697930535,1,0,hi-fi speakers,131,0,Excellent,Low,4
sonos beam gen 2 the compact smart soundbar for tv music and more black,4.7,1.893471814,2.359948176,0,0,hi-fi speakers,131,0,Excellent,Low,4
heysong portable bluetooth speaker waterproof wireless outdoor speakers with led light enhanced bass ipx7 floating 40h play tf card true wireless stereo for party shower biking gifts for men,4.5,2.385947278,0.215291319,0,0,hi-fi speakers,131,0,Excellent,Low,7
jabra speak 510 speaker phone microsoft certified portable bluetooth conference speaker with usb connect with laptops smartphones and tablets black,4.7,2.355565321,1.019248553,0,0,hi-fi speakers,131,0,Excellent,Low,7
wking bluetooth speakers 50w portable bluetooth speaker wireless loud ipx6 waterproof outdoor speaker with deep bass40h playback for party travel,4.7,2.696781797,0.961378816,0,0,hi-fi speakers,131,0,Excellent,Low,7
ultimate ears wonderboom 3 small portable wireless bluetooth speaker big bass 360degree sound for outdoors waterproof dustproof ip67 floatable 40 m range black,4.6,1.769441314,1.038044837,0,0,hi-fi speakers,131,0,Excellent,Low,7
kolaura portable wireless speaker bluetooth 50 speaker with 3d stereo hifi bass 1500mah battery 12 hour playtime black,4.3,2.357621407,-0.359931453,0,0,hi-fi speakers,131,0,Excellent,,7
jbl xtreme 3 wireless portable waterproof speaker with bluetooth with charging cable in black,4.6,1.837596508,1.817597649,0,0,hi-fi speakers,131,0,Excellent,Low,7
night light bluetooth speaker alarm clock bluetooth speakerbedside lamp with alarm clockwhite noise machinedimmable color changing table lamp bedroom gifts for teenage girls boys kids women teens,4.4,1.767713162,0.009750511,0,0,hi-fi speakers,131,0,Excellent,Low,1
marshall emberton ii portable bluetooth speaker wireless water resistant black,4.6,2.060599003,1.454478773,0,0,hi-fi speakers,131,0,Excellent,Low,7
ultimea sound bar for tv with subwoofer deep bass ultra slim soundbar 21ch soundbar for tv eq adjustable bluetooth 53 tv sound bar game mode perfect for pc arcoptauxusbcoaxial nova s40,4.5,1.489836739,0.94105676,0,0,hi-fi speakers,131,0,Excellent,Low,4
fenton shf700b floor standing speakers hifi stereo tower loudspeakers 2x 65 woofers black,4.4,0.451081561,1.4319624,0,0,hi-fi speakers,131,0,Excellent,Low,4
fenton shfs10w active subwoofer speaker 10 for home theatre surround sound hifi systems white,5,-0.470983365,1.558746945,0,0,hi-fi speakers,131,0,Excellent,Low,4
echo show 15 remote full hd 156 smart display with alexa and fire tv built in,4.4,2.468362397,1.738697986,0,0,hi-fi speakers,131,0,Excellent,Low,4
wking bluetooth speakers 50w portable bluetooth speaker wireless loud ipx6 outdoor speaker whuge battery deep bass 40h play party travel home,4.7,2.696781797,0.961378816,0,0,hi-fi speakers,131,0,Excellent,Low,7
echo show 10 3rd generation hd smart display with motion and alexa glacier white fabric,4.5,2.737922438,1.633634155,0,0,hi-fi speakers,131,0,Excellent,Low,4
easy touch wireless speaker portable rechargeable phone speaker autoconnects wireless charger works with iphone android magnetic field induction up to 20 hours battery life no wires,3.8,1.353390274,0.373745882,0,0,hi-fi speakers,131,0,Good,Low,7
samsung c400 21ch 270w soundbar speaker 2023 bluetooth soundbar with 4 speakers 65 subwoofer 3d wireless surround sound smart game mode adaptive audio,3.6,0.428937169,1.225856727,0,0,hi-fi speakers,131,0,Good,Low,7
bose home speaker 500 with alexa built in triple black 203 cm x 109 cm x 169 cm,4.5,2.08285484,2.18379548,1,0,hi-fi speakers,131,0,Excellent,Low,4
sonos one sl black the powerful microphonefree speaker for music and more,4.7,2.335932524,1.53876055,0,0,hi-fi speakers,131,0,Excellent,Low,4
